timestamp,motor_commanded_torque,motor_encoder_torque,motor_encoder_torque_target,motor_encoder_angle,motor_encoder_velocity,imu_dt,imu_dthetax,imu_dthetay,imu_dthetaz,imu_dvelx,imu_dvely,imu_dvelz,imu_ang_velx,imu_ang_vely,imu_ang_velz,imu_lin_accelx,imu_lin_accely,imu_lin_accelz,ins_theta,ins_phi,ins_psi
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235797,1.36416,-3.01216
100,0,-0.943035,-0.832974,-0.674065,-0.00104224,0.014,-6.48426e-06,-2.81944e-05,7.20509e-06,0.134105,-0.00664417,-0.0272944,-0.000463161,-0.00201388,0.000514649,9.57894,-0.474583,-1.9496,0.235609,1.36415,-3.01236
200,0,-0.943035,-0.833428,-0.674063,0.002616,0.014,2.11192e-05,-1.76368e-05,1.08077e-05,0.133959,-0.00660791,-0.0271312,0.00150851,-0.00125977,0.000771978,9.56849,-0.471994,-1.93794,0.235716,1.36417,-3.01227
300,0,-0.943035,-0.833732,-0.674069,-0.0016122,0.014,5.00574e-06,-4.19917e-05,2.38668e-05,0.134023,-0.00659281,-0.0272419,0.000357553,-0.00299941,0.00170477,9.57308,-0.470915,-1.94585,0.235943,1.36417,-3.01208
400,0,-0.943035,-0.833715,-0.674059,0.00169214,0.014,1.27256e-06,-1.76785e-05,1.95853e-05,0.133986,-0.00678491,-0.0270338,9.08973e-05,-0.00126275,0.00139895,9.5704,-0.484636,-1.93099,0.235916,1.36421,-3.01212
500,0,-0.943035,-0.833184,-0.67406,0.00322324,0.014,-9.54813e-06,-1.62438e-05,1.21603e-05,0.133962,-0.00679903,-0.0270269,-0.000682009,-0.00116027,0.000868594,9.56874,-0.485645,-1.93049,0.235789,1.36422,-3.01225
600,0,-0.943035,-0.833893,-0.674071,-0.00129181,0.014,8.0459e-07,-2.5289e-05,8.36981e-06,0.133936,-0.00659191,-0.0270386,5.74707e-05,-0.00180636,0.000597843,9.56687,-0.470851,-1.93133,0.235773,1.36423,-3.01228
700,0,-0.943035,-0.834306,-0.674073,-0.00172021,0.014,-2.59164e-05,-2.55352e-05,9.55658e-06,0.134053,-0.00652836,-0.027138,-0.00185117,-0.00182394,0.000682613,9.57519,-0.466312,-1.93843,0.235637,1.36421,-3.01242
800,0,-0.943035,-0.832961,-0.67407,-0.00297935,0.014,4.0139e-06,-1.86881e-05,9.1574e-06,0.134152,-0.00665991,-0.0272306,0.000286707,-0.00133487,0.0006541,9.58225,-0.475708,-1.94504,0.235506,1.36422,-3.01258
900,0,-0.943035,-0.833611,-0.674063,0.00257134,0.014,-4.36426e-06,-1.8403e-05,-4.84503e-06,0.133968,-0.00668544,-0.0272834,-0.000311733,-0.0013145,-0.000346073,9.56911,-0.477531,-1.94882,0.235257,1.36422,-3.01279
