timestamp,motor_commanded_torque,motor_encoder_torque,motor_encoder_torque_target,motor_encoder_angle,motor_encoder_velocity,imu_dt,imu_dthetax,imu_dthetay,imu_dthetaz,imu_dvelx,imu_dvely,imu_dvelz,imu_ang_velx,imu_ang_vely,imu_ang_velz,imu_lin_accelx,imu_lin_accely,imu_lin_accelz,ins_theta,ins_phi,ins_psi
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,-0.0507621,-0.0472495,4.02927e-05,-0.00181984,0.014,-4.82632e-06,-4.62289e-05,3.65441e-05,0.135993,-0.00465611,-0.0169023,-0.000344737,-0.00330206,0.00261029,9.71378,-0.332579,-1.20731,0.258246,1.43967,-2.98753
200,0,-0.0498185,-0.0465592,2.99215e-05,-0.0058953,0.014,3.80773e-06,-1.60852e-05,2.84962e-05,0.136,-0.00544724,-0.017481,0.000271981,-0.00114894,0.00203544,9.71427,-0.389088,-1.24864,0.257893,1.43973,-2.98791
300,0,-0.0637434,-0.0484338,4.09484e-05,0.0050049,0.014,2.41865e-05,2.49431e-05,-2.47011e-05,0.135793,-0.00478747,-0.0169021,0.00172761,0.00178165,-0.00176436,9.69953,-0.341962,-1.20729,0.257813,1.43974,-2.98803
400,0,-0.0531152,-0.0486998,4.82202e-05,0.00629385,0.014,5.19211e-06,-3.02548e-05,2.02669e-05,0.135554,-0.00415228,-0.0167635,0.000370865,-0.00216106,0.00144763,9.68245,-0.296591,-1.19739,0.258433,1.43967,-2.98739
500,0,-0.0341588,-0.0472465,3.32594e-05,-0.00228178,0.014,-1.71008e-05,-5.26226e-06,2.01428e-05,0.135901,-0.00463029,-0.0173039,-0.00122148,-0.000375876,0.00143877,9.70722,-0.330735,-1.23599,0.258261,1.43973,-2.98759
600,0,-0.0569692,-0.046295,1.58548e-05,-0.00778031,0.014,-1.45677e-06,2.9808e-07,1.15005e-05,0.135929,-0.0045472,-0.0169554,-0.000104055,2.12914e-05,0.000821468,9.70924,-0.3248,-1.2111,0.258436,1.43974,-2.98741
700,0,-0.0431935,-0.0466702,1.40667e-05,-0.00561219,0.014,2.85684e-06,-1.97975e-05,9.31663e-06,0.135768,-0.0048091,-0.016978,0.00020406,-0.00141411,0.000665474,9.69773,-0.343507,-1.21272,0.258348,1.43972,-2.98751
800,0,-0.0452616,-0.0483111,3.79086e-05,0.00361163,0.014,-5.45121e-06,2.72964e-06,2.5233e-07,0.135721,-0.00466454,-0.0170232,-0.000389372,0.000194974,1.80236e-05,9.69438,-0.333182,-1.21594,0.258151,1.43975,-2.9877
900,0,-0.0491285,-0.048252,4.25577e-05,0.00300813,0.014,6.43499e-06,-1.45288e-05,3.07233e-05,0.135632,-0.00423982,-0.0165476,0.000459642,-0.00103777,0.00219452,9.68801,-0.302844,-1.18197,0.258802,1.43962,-2.98707
1000,0,-0.0480394,-0.0483311,3.68953e-05,0.00347006,0.014,-1.29476e-05,-3.17775e-05,3.27168e-05,0.135774,-0.00486712,-0.0169455,-0.000924825,-0.00226982,0.00233692,9.69814,-0.347651,-1.21039,0.258626,1.43965,-2.98723
1100,0,-0.0393085,-0.0476691,3.55244e-05,-0.000627767,0.014,1.62096e-05,-3.0992e-06,-1.18129e-05,0.135984,-0.00513799,-0.0170857,0.00115783,-0.000221372,-0.000843781,9.71314,-0.366999,-1.2204,0.258113,1.43971,-2.98778
1200,0,-0.0462931,-0.0468532,2.48551e-05,-0.0054483,0.014,2.74056e-06,-1.40472e-05,-6.95661e-06,0.13578,-0.00444998,-0.0168869,0.000195754,-0.00100337,-0.000496901,9.69861,-0.317856,-1.20621,0.258303,1.4397,-2.98759
1300,0,-0.0446621,-0.0480925,3.80278e-05,0.00157016,0.014,-3.62342e-06,-1.2106e-05,1.11422e-05,0.135714,-0.00405136,-0.0169626,-0.000258816,-0.000864712,0.000795873,9.69383,-0.289383,-1.21161,0.258317,1.43972,-2.98758
1400,0,-0.0451523,-0.0482652,4.48823e-05,0.00230776,0.014,-2.28068e-05,-2.85189e-06,3.47854e-05,0.135811,-0.00443517,-0.0170123,-0.00162906,-0.000203707,0.00248467,9.70077,-0.316798,-1.21516,0.258572,1.43972,-2.98728
1500,0,-0.0460729,-0.0486527,4.61936e-05,0.00446099,0.014,3.28101e-06,3.93881e-06,2.47819e-05,0.135865,-0.00469451,-0.0169695,0.000234358,0.000281343,0.00177014,9.70462,-0.335322,-1.21211,0.257888,1.43969,-2.98796
1600,0,-0.0532208,-0.0478665,2.15769e-05,0.000132197,0.014,6.16687e-06,3.22009e-06,1.25478e-05,0.135821,-0.00471498,-0.017062,0.00044049,0.000230007,0.000896273,9.70152,-0.336784,-1.21871,0.2583,1.43971,-2.98755
1700,0,-0.0566426,-0.0480282,3.97563e-05,0.000564329,0.014,1.0903e-05,1.38473e-05,-6.15644e-06,0.135976,-0.00466166,-0.0172027,0.000778789,0.000989096,-0.000439746,9.71257,-0.332975,-1.22876,0.257981,1.43988,-2.98791
1801,0,-0.0580119,-0.0484872,3.27229e-05,0.00335829,0.014,-2.42549e-05,5.84567e-05,-6.9496e-06,0.135476,-0.00411149,-0.0160674,-0.00173249,0.00417548,-0.0004964,9.67685,-0.293678,-1.14767,0.258136,1.43998,-2.98774
1900,0,-0.0590764,-0.0466651,1.96099e-05,-0.0074674,0.014,-2.03526e-05,-1.72632e-06,4.18632e-05,0.135788,-0.00480005,-0.0159035,-0.00145375,-0.000123309,0.00299023,9.69912,-0.342861,-1.13596,0.257671,1.44031,-2.98819
2000,0,-0.0479356,-0.0482445,4.91738e-05,0.00124978,0.014,-2.27456e-06,-5.39328e-05,1.58962e-05,0.136346,-0.00577132,-0.0163903,-0.000162469,-0.00385234,0.00113545,9.739,-0.412237,-1.17073,0.257154,1.44045,-2.98872
2100,0,-0.0520529,-0.0478908,2.50936e-05,-0.000478758,0.014,2.31838e-05,6.0384e-06,-7.09947e-05,0.135881,-0.00462642,-0.0164502,0.00165599,0.000431314,-0.00507105,9.7058,-0.330458,-1.17502,0.256898,1.44058,-2.98899
2200,0,-0.056189,-0.046863,2.31862e-05,-0.0067596,0.014,-1.26648e-05,-2.05735e-05,1.29813e-05,0.135183,-0.00287908,-0.0152383,-0.000904625,-0.00146953,0.000927234,9.65591,-0.205649,-1.08845,0.258039,1.44038,-2.98778
2300,0,-0.0476185,-0.0485522,4.6134e-05,0.00277713,0.014,-6.32192e-06,2.32171e-06,8.4022e-05,0.135526,-0.00314939,-0.0157308,-0.000451566,0.000165836,0.00600157,9.68044,-0.224956,-1.12363,0.258206,1.44027,-2.98761
2400,0,-0.0451349,-0.0468745,1.93119e-05,-0.00687137,0.014,-1.53567e-05,-3.3531e-05,8.97451e-05,0.136157,-0.00651015,-0.0169214,-0.00109691,-0.00239507,0.00641036,9.7255,-0.465011,-1.20867,0.256766,1.44034,-2.98912
2500,0,-0.0543848,-0.0467913,9.89437e-06,-0.00730352,0.014,7.95111e-06,2.85449e-05,-4.90853e-05,0.136001,-0.00610852,-0.0163344,0.000567937,0.00203892,-0.00350609,9.71434,-0.436323,-1.16674,0.256501,1.44032,-2.98934
2600,0,-0.0440634,-0.0485644,4.07696e-05,0.00256105,0.014,8.60863e-07,-5.57036e-05,-1.6164e-06,0.13547,-0.00345308,-0.0157323,6.14902e-05,-0.00397883,-0.000115457,9.67642,-0.246649,-1.12373,0.257418,1.44021,-2.98836
2701,0,-0.0526064,-0.0489461,4.82798e-05,0.00455035,0.014,-1.18168e-05,-4.96602e-05,3.34569e-05,0.135672,-0.00372137,-0.0166217,-0.000844057,-0.00354716,0.00238978,9.69085,-0.265812,-1.18727,0.257821,1.44034,-2.98796
2800,0,-0.0432387,-0.047679,2.99215e-05,-0.00281828,0.014,-1.28241e-05,-5.44708e-05,6.09187e-05,0.135872,-0.00527903,-0.0171261,-0.000916005,-0.00389077,0.00435134,9.70514,-0.377074,-1.22329,0.257622,1.44028,-2.98816
2900,0,-0.0526781,-0.0496498,4.88162e-05,0.0084917,0.014,1.53162e-07,1.19979e-05,-2.53458e-05,0.135898,-0.00536436,-0.0172833,1.09401e-05,0.000856995,-0.00181042,9.70702,-0.383168,-1.23452,0.257078,1.44043,-2.98872
3000,0,-0.0613803,-0.0480788,3.49879e-05,-0.000806624,0.014,3.54332e-06,-4.45893e-05,-3.73265e-06,0.135885,-0.0044085,-0.0171357,0.000253094,-0.00318495,-0.000266618,9.7061,-0.314893,-1.22398,0.257421,1.44032,-2.98836
3100,0,-0.0360184,-0.0492342,4.38094e-05,0.00582439,0.014,-2.21787e-05,2.33311e-05,-5.407e-06,0.135927,-0.00351326,-0.0171721,-0.0015842,0.0016665,-0.000386214,9.70906,-0.250947,-1.22658,0.257901,1.44035,-2.98788
3201,0,-0.0549339,-0.0494021,5.49555e-05,0.00645769,0.014,-1.76875e-06,-4.59273e-05,4.58243e-05,0.13581,-0.00464956,-0.0179632,-0.000126339,-0.00328052,0.00327317,9.70074,-0.332111,-1.28309,0.257636,1.44051,-2.98818
3300,0,-0.0450598,-0.0487394,3.72529e-05,0.00271005,0.014,-1.25428e-05,-4.16912e-06,8.13107e-06,0.135763,-0.00491173,-0.0180868,-0.000895916,-0.000297794,0.00058079,9.69732,-0.350838,-1.29191,0.257622,1.44049,-2.98819
3400,0,-0.0403348,-0.0482924,2.56896e-05,0.000139601,0.014,7.00266e-06,-1.89828e-05,-2.46671e-07,0.135857,-0.00434286,-0.0184272,0.00050019,-0.00135592,-1.76193e-05,9.70408,-0.310204,-1.31623,0.257889,1.44052,-2.98794
3500,0,-0.0523367,-0.049254,3.70145e-05,0.00554871,0.014,-5.78936e-06,4.2263e-05,1.04591e-05,0.135963,-0.00314432,-0.0180782,-0.000413525,0.00301878,0.000747082,9.71167,-0.224595,-1.2913,0.258461,1.44047,-2.98733
3600,0,-0.0487127,-0.0473991,2.09212e-05,-0.00539619,0.014,-8.33076e-06,2.77165e-05,4.90551e-05,0.135867,-0.00355115,-0.0174853,-0.000595054,0.00197975,0.00350393,9.70481,-0.253654,-1.24895,0.258556,1.44043,-2.98724
3700,0,-0.0556255,-0.048745,3.0756e-05,0.00237476,0.014,-5.0469e-06,-2.85325e-06,5.86333e-05,0.135906,-0.00424103,-0.0183048,-0.00123277,0.000867842,0.00315351,9.70415,-0.362291,-1.24705,0.258432,1.44044,-2.98739
3800,0,-0.0435636,-0.0485382,3.43323e-05,0.000929345,0.014,5.88822e-06,3.38565e-05,1.83647e-05,0.135975,-0.00519542,-0.0185544,0.000420587,0.00241832,0.00131176,9.71252,-0.371102,-1.32531,0.258174,1.44059,-2.98769
3900,0,-0.0370848,-0.0504722,4.36306e-05,0.0122617,0.014,-9.40867e-06,-7.08407e-05,4.82026e-06,0.135677,-0.00544754,-0.0189278,-0.000672048,-0.00506005,0.000344304,9.69121,-0.38911,-1.35198,0.258055,1.4407,-2.98783
4000,0,-0.053629,-0.0478213,2.60472e-05,-0.00345904,0.014,-2.16366e-06,-1.05124e-05,-3.22144e-05,0.135953,-0.00372448,-0.0195764,-0.000154547,-0.000750885,-0.00230102,9.7109,-0.266034,-1.39832,0.258306,1.4407,-2.98756
4100,0,-0.0445551,-0.049903,4.23789e-05,0.0085811,0.014,-8.0927e-07,-1.14065e-05,1.18842e-05,0.135831,-0.0031502,-0.0201235,-5.7805e-05,-0.000814752,0.000848872,9.70221,-0.225014,-1.43739,0.258537,1.44065,-2.98727
4200,0,-0.0489585,-0.0473297,8.9407e-06,-0.00630516,0.014,1.68696e-06,6.86759e-06,5.36946e-05,0.135184,-0.00489924,-0.019483,0.000120497,0.000490542,0.00383533,9.65599,-0.349945,-1.39165,0.258396,1.44064,-2.98738
4300,0,-0.0458661,-0.0481008,5.30481e-06,-0.0016858,0.014,-1.87662e-05,8.60811e-07,3.69374e-05,0.135721,-0.00552467,-0.0190989,-0.00134044,6.14865e-05,0.00263839,9.69433,-0.394619,-1.36421,0.257871,1.44063,-2.98792
4400,0,-0.0437181,-0.0489019,4.1306e-05,0.00221831,0.014,2.90495e-05,4.81043e-05,-2.81173e-05,0.135794,-0.00431678,-0.0184262,0.00207496,0.00343602,-0.00200838,9.69955,-0.308342,-1.31615,0.257848,1.44064,-2.98796
4500,0,-0.0540969,-0.0469697,9.47714e-06,-0.00883836,0.014,-6.61927e-06,6.66856e-05,2.23943e-05,0.135022,-0.00371923,-0.0171513,-0.000472805,0.00476325,0.00159959,9.6444,-0.26566,-1.22509,0.258354,1.44064,-2.98739
4600,0,-0.0549324,-0.0485265,3.48687e-05,-0.000143535,0.014,-2.77443e-05,-4.9858e-05,0.000114286,0.135512,-0.00494365,-0.0158518,-0.00198174,-0.00356129,0.00816325,9.67946,-0.353118,-1.13227,0.258043,1.44049,-2.98766
4700,0,-0.0546952,-0.0478263,2.19941e-05,-0.00419665,0.014,-3.60772e-05,-0.000136812,4.59988e-05,0.136416,-0.00693549,-0.0155426,-0.00257694,-0.00977229,0.00328563,9.74401,-0.495392,-1.11018,0.256549,1.44044,-2.98921
4800,0,-0.0351706,-0.0490637,3.48687e-05,0.00285161,0.014,-3.45328e-05,-9.34512e-05,-0.000108389,0.136289,-0.00500733,-0.0163755,-0.00246663,-0.00667508,-0.00774208,9.73495,-0.357667,-1.16968,0.256341,1.44046,-2.98944
4900,0,-0.0536013,-0.0482603,1.7345e-05,-0.00169325,0.014,5.16095e-06,-9.78311e-05,-3.67575e-05,0.135805,-0.00144789,-0.0173518,0.000368639,-0.00698793,-0.00262554,9.70033,-0.103421,-1.23942,0.25791,1.44034,-2.98777
5000,0,-0.0465658,-0.0493953,2.55108e-05,0.00489306,0.014,-6.79959e-05,-0.000104141,9.50116e-05,0.135749,-0.0025539,-0.0187807,-0.00485685,-0.00743864,0.00678654,9.69632,-0.182421,-1.34148,0.258352,1.44031,-2.98734
5100,0,-0.0453147,-0.0481387,9.47714e-06,-0.00241596,0.014,-2.97385e-05,-0.000104277,7.83684e-05,0.136704,-0.00382534,-0.017586,-0.00212418,-0.00744835,0.00559774,9.76457,-0.273239,-1.25614,0.257613,1.44043,-2.98814
5200,0,-0.0543263,-0.0465464,7.98702e-06,-0.0121092,0.014,1.5684e-05,-3.70607e-05,-3.94462e-05,0.136872,-0.00495427,-0.0188659,0.00112028,-0.00264719,-0.00281759,9.77661,-0.353876,-1.34756,0.256992,1.44052,-2.9888
5300,0,-0.0605208,-0.048197,-1.0848e-05,-0.00186461,0.014,-7.90216e-06,1.21787e-05,-5.81273e-05,0.135606,-0.00285825,-0.0177589,-0.00056444,0.000869907,-0.00415195,9.68617,-0.20416,-1.26849,0.258183,1.44044,-2.98753
5400,0,-0.0567137,-0.0498188,2.40803e-05,0.00709099,0.014,-3.95466e-05,-8.30433e-06,6.14464e-05,0.135617,-0.00234979,-0.0177652,-0.00282475,-0.000593166,0.00438903,9.68694,-0.167842,-1.26894,0.258692,1.4404,-2.98697
5500,0,-0.0430843,-0.0485064,1.7643e-05,-0.000791729,0.014,-3.7992e-05,-6.82878e-06,9.32915e-05,0.136301,-0.00496816,-0.0178526,-0.00271371,-0.00048777,0.00666368,9.73575,-0.354869,-1.27518,0.258035,1.44045,-2.98764
5600,0,-0.0505456,-0.0484378,1.0848e-05,-0.00114936,0.014,-1.44157e-05,3.94327e-05,3.43422e-06,0.136007,-0.00665541,-0.0175239,-0.00102969,0.00281662,0.000245301,9.71479,-0.475386,-1.2517,0.257339,1.44052,-2.98837
5700,0,-0.0594867,-0.0478741,1.09076e-05,-0.00465114,0.014,-1.21323e-05,4.31956e-05,-2.48385e-05,0.135483,-0.00414075,-0.016267,-0.000866596,0.0030854,-0.00177418,9.67735,-0.295768,-1.16193,0.257538,1.44045,-2.98812
5800,0,-0.0546053,-0.0503314,3.85642e-05,0.00946026,0.014,9.63214e-05,0.000499539,-0.000140428,0.136302,0.000680036,-0.0149043,0.0068801,0.0356813,-0.0100306,9.73584,0.048574,-1.06459,0.258232,1.44134,-2.98747
5900,0,-0.0466556,-0.0469349,7.25389e-05,-0.011826,0.014,-6.87659e-05,0.000181308,0.000316246,0.133253,0.00260145,-0.00608067,-0.00491185,0.0129506,0.022589,9.51805,0.185818,-0.434334,0.261349,1.43959,-2.98418
6000,0,-0.0457246,-0.0482586,6.71148e-05,-0.00352609,0.014,-0.00012149,-7.44453e-05,0.000398091,0.13597,-0.014289,-0.0098331,-0.00867788,-0.00531752,0.0284351,9.71215,-1.02064,-0.702364,0.255105,1.43997,-2.99074
6100,0,-0.0589269,-0.0470662,3.39746e-06,-0.00932265,0.014,5.18716e-05,9.71836e-06,-0.0002397,0.137499,-0.0133623,-0.011461,0.00370511,0.000694168,-0.0171214,9.82138,-0.954451,-0.818642,0.253017,1.44014,-2.99291
6200,0,-0.0499612,-0.0484379,-8.9407e-07,-0.0009333,0.014,7.13497e-05,-0.000122987,-0.000274067,0.135107,-0.000183439,-0.0121861,0.00509641,-0.00878477,-0.0195762,9.6505,-0.0131028,-0.870439,0.256759,1.43966,-2.98897
6300,0,-0.0436576,-0.049275,-2.74181e-06,0.00424485,0.014,-2.14222e-05,-0.000200102,0.000138941,0.134294,0.00104896,-0.0153849,-0.00153015,-0.014293,0.00992433,9.59241,0.0749259,-1.09892,0.26031,1.43944,-2.98526
6400,0,-0.0583287,-0.0489592,-1.60933e-05,0.00272494,0.014,-5.58911e-05,-0.00020762,0.00021244,0.136165,-0.00856329,-0.0198766,-0.00399222,-0.01483,0.0151743,9.72605,-0.611663,-1.41975,0.257881,1.43971,-2.98786
6500,0,-0.0481259,-0.0487537,-5.11408e-05,0.0023673,0.014,-1.92088e-05,-0.000132858,4.28325e-06,0.137707,-0.0101911,-0.0189132,-0.00137206,-0.00948988,0.000305946,9.83622,-0.727938,-1.35094,0.255353,1.43991,-2.99048
6600,0,-0.0506296,-0.047565,-5.48363e-05,-0.00460644,0.014,7.80026e-05,-1.17447e-05,-0.000266076,0.135874,-0.00483979,-0.0184505,0.00557161,-0.000838909,-0.0190054,9.70529,-0.345699,-1.3179,0.256555,1.43997,-2.98923
6700,0,-0.0571337,-0.0505548,-8.64267e-06,0.0125001,0.014,5.35721e-06,-9.55854e-05,-1.8598e-05,0.133983,0.000518565,-0.0173915,0.000382658,-0.00682753,-0.00132843,9.57022,0.0370404,-1.24225,0.259645,1.43983,-2.986
6800,0,-0.0618513,-0.0471268,-4.02927e-05,-0.00734825,0.014,-3.35315e-05,-0.000111405,0.000205309,0.135779,-0.00478089,-0.0195574,-0.00239511,-0.0079575,0.0146649,9.69849,-0.341492,-1.39696,0.258794,1.44003,-2.98686
6900,0,-0.0325562,-0.0480957,-3.45111e-05,-0.00154424,0.014,3.38547e-05,-5.95395e-06,1.46809e-05,0.136819,-0.00856216,-0.0203286,0.00241819,-0.000425282,0.00104864,9.7728,-0.611583,-1.45204,0.256193,1.44029,-2.98955
7000,0,-0.0675226,-0.0495486,-2.33054e-05,0.00708353,0.014,7.63249e-05,5.60767e-05,-0.000146594,0.135712,-0.00442143,-0.0181902,0.00545178,0.00400548,-0.010471,9.69371,-0.315816,-1.2993,0.256477,1.44023,-2.98924
7100,0,-0.0508249,-0.0467972,-5.07236e-05,-0.00876386,0.014,1.81251e-05,9.60311e-06,-6.5448e-05,0.135046,-0.00249194,-0.0172468,0.00129465,0.000685937,-0.00467486,9.64613,-0.177996,-1.23192,0.257913,1.44015,-2.9877
